Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
26160109,Linear Algebra and Its Applications (5th Edition),David C. Lay,"Lay, David C.","Steven R. Lay, Judi J. McDonald",,,0,3.8,Pearson,Kindle Edition,576,2015,1993,2015/12/16,2015/10/30,math,math (#19),read,,,,,,,0,,,,,
1487938,The Pea and the Sun: A Mathematical Paradox,Leonard M. Wapner,"Wapner, Leonard M.",,1568812132,9781568812137,5,3.8,AK Peters,Hardcover,232,2005,2005,,2012/03/20,math,math (#6),read,,,,,,,0,,,,,
205816,"Hacking Exposed: Network Security Secrets & Solutions, Fifth Edition",Stuart McClure,"McClure, Stuart","Joel Scambray, George Kurtz",72260815,9780072260816,4,3.81,McGraw-Hill/Osborne Media,Paperback,692,2005,1999,2013/08/26,2012/08/29,math,math (#14),read,,,,,,,0,,,,,
9229319,"Official Ubuntu Book, The, 5/E",Benjamin Mako Hill,"Hill, Benjamin Mako","Matthew Helmke, Corey Burger",132167948,9780132167949,0,3.83,Prentice Hall,ebook,437,2010,2006,2012/08/25,2012/07/16,math,math (#17),read,,,,,,,0,,,,,
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,"Diamond, Jared",,143036556,9780143036555,0,3.91,Penguin Books Ltd. (London),Paperback,608,2005,2004,,2012/04/20,math,math (#4),read,,,,,,,0,,,,,
1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,61234001,9780061234002,4,3.91,William Morrow,Hardcover,320,2006,2001,2012/05/02,2012/04/26,math,math (#2),read,,,,,,,0,,,,,
173346,Sams Teach Yourself SQL™ in 10 Minutes,Ben Forta,"Forta, Ben",,672325675,9780672325670,4,3.91,Sams,Paperback,242,2004,1999,2014/02/06,2014/01/28,math,math (#10),read,,,,,,,0,,,,,
6402364,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,60889578,9780060889579,4,3.92,William Morrow,Hardcover,270,2009,2009,,2012/08/03,math,math (#16),read,,,,,,,0,,,,,
388049,Introduction to Graph Theory,Richard J. Trudeau,"Trudeau, Richard J.",,486678709,9780486678702,3,3.92,Dover Publications,Paperback,224,1994,1994,2014/02/06,2014/01/16,math,math (#11),read,,,,,,,0,,,,,
13588394,The Signal and the Noise: Why So Many Predictions Fail - But Some Don't,Nate Silver,"Silver, Nate",,159420411X,9781594204111,0,3.95,Penguin,Hardcover,544,2012,2012,2013/12/10,2013/08/26,math,math (#13),read,,,,,,,0,,,,,
64582,Chaos: Making a New Science,James Gleick,"Gleick, James",,140092501,9780140092509,5,3.97,Penguin Books,Paperback,352,1988,1987,,2012/03/20,math,math (#7),read,,,,,,,0,,,,,
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,739467352,9780739467350,5,3.98,W.W. Norton & Company,Paperback,425,2005,1997,,2012/03/17,math,math (#9),read,,,,,,,0,,,,,
49234,The Third Chimpanzee: The Evolution & Future of the Human Animal,Jared Diamond,"Diamond, Jared",,60845503,9780060845506,0,4.02,Harper Perennial,Paperback,407,2006,1991,,2012/04/20,math,math (#3),read,,,,,,,0,,,,,
16213,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard   Preston,"Preston, Richard",,385495226,9780385495226,5,4.08,Anchor Books,Paperback,323,1999,1994,,2012/03/17,math,math (#8),read,,,,,,,0,,,,,
